"Id","EVENT","DATE","TIME","LAT","LNG","LOCATION","BATTERY","SPEED","MILEAGE","FUEL","DIRECTION"
"384","4002","10/31/2017","10:03:26","45.550321","-73.618043","NA","96","0","83","0","North"
"389","4002","10/31/2017","10:04:23","45.552919","-73.619280","","93","11","83","0","North-East"
"390","4002","10/31/2017","10:05:22","45.552041","-73.616334","NA","93","0","84","0","North-East"
"391","4002","10/31/2017","10:06:21","45.549927","-73.611662","","94","31","84","0","South-East"
"392","4002","10/31/2017","10:12:00","45.549587","-73.610450","NA","94","0","84","0","South-East"
"394","4002","10/31/2017","10:12:55","45.548259","-73.607892","","94","3","84","0","South-East"
"395","4002","10/31/2017","10:15:55","45.541261","-73.612904","","94","0","84","0","South-East"
"398","4002","10/31/2017","10:16:56","45.539658","-73.613726","","94","19","85","0","South"
"399","4002","10/31/2017","10:17:56","45.538987","-73.616575","","94","7","85","0","North-West"
"400","4002","10/31/2017","10:18:56","45.540720","-73.622104","","94","1","85","0","South-East"
"401","4002","10/31/2017","11:04:52","45.540283","-73.621723","","93","0","85","0","South-East"
"404","4002","10/31/2017","11:06:02","45.540811","-73.622636","","93","8","85","0","South-East"
"405","4002","10/31/2017","11:06:50","45.541686","-73.622056","","93","14","85","0","North-East"
"406","4002","10/31/2017","11:07:51","45.544851","-73.620268","","94","1","86","0","North-East"
"407","4002","10/31/2017","11:08:55","45.546311","-73.618791","","93","10","86","0","South-East"
"408","4002","10/31/2017","11:09:49","45.549006","-73.615826","","93","16","86","0","South-East"
"409","4002","10/31/2017","11:10:49","45.551228","-73.614293","","94","8","86","0","East"
"410","4002","10/31/2017","11:11:49","45.555796","-73.609259","","94","20","87","0","South-East"
"411","4002","10/31/2017","11:13:04","45.554925","-73.605329","","93","2","87","0","South-East"
"412","4002","10/31/2017","11:13:48","45.552715","-73.603017","","93","1","87","0","South-East"
"413","4002","10/31/2017","11:15:20","45.553594","-73.605785","","94","14","87","0","South"
"414","4002","10/31/2017","11:23:35","45.553594","-73.605785","","93","14","87","0","South"
"415","4002","10/31/2017","15:21:12","45.555491","-73.609898","","93","0","87","0","South"
"421","4002","10/31/2017","15:22:12","45.558033","-73.612827","","92","3","88","0","North-East"
"422","4002","10/31/2017","15:23:12","45.559262","-73.610203","","92","5","88","0","North-East"
"423","4002","10/31/2017","15:27:11","45.560492","-73.608332","","92","0","88","0","North-East"
"427","4002","10/31/2017","15:28:11","45.560816","-73.607972","","92","3","88","0","North-East"
"428","4002","10/31/2017","15:29:53","45.561136","-73.607606","","92","0","88","0","North-East"
"430","4002","10/31/2017","15:30:52","45.563872","-73.604049","","92","20","88","0","South-East"
"431","4002","10/31/2017","15:33:08","45.567794","-73.601526","","92","0","88","0","South-East"
"433","4002","10/31/2017","15:33:17","45.567985","-73.601144","","92","7","88","0","East"
"434","4002","10/31/2017","15:34:15","45.568643","-73.600970","","92","1","88","0","North-East"
"435","4002","10/31/2017","15:35:14","45.568974","-73.600660","","92","2","89","0","North-East"
"436","4002","10/31/2017","15:36:14","45.569335","-73.600342","","92","8","89","0","North-East"
"437","4002","10/31/2017","15:37:15","45.570251","-73.599562","","92","14","89","0","North-East"
"438","4002","10/31/2017","15:38:15","45.571276","-73.598787","","92","12","89","0","North-West"
"439","4002","10/31/2017","15:39:16","45.577378","-73.593196","","92","13","89","0","North"
"440","4002","10/31/2017","15:40:15","45.580367","-73.590468","","92","2","89","0","North-East"
"441","4002","10/31/2017","15:41:16","45.581495","-73.589416","","92","19","90","0","North-East"
"442","4002","10/31/2017","15:42:15","45.583611","-73.587415","","91","0","90","0","North-East"
"443","4002","10/31/2017","15:43:15","45.588081","-73.583444","","92","17","90","0","North-East"
"444","4002","10/31/2017","15:45:14","45.591770","-73.580139","","92","0","90","0","North-East"
"446","4002","10/31/2017","15:46:15","45.593006","-73.578518","","92","2","91","0","East"
"447","4002","10/31/2017","15:47:15","45.593385","-73.577943","","92","8","91","0","East"
"448","4002","10/31/2017","15:48:15","45.594163","-73.576856","","92","1","91","0","East"
"449","4002","10/31/2017","15:49:15","45.594790","-73.575958","","91","4","91","0","North-East"
"450","4002","10/31/2017","15:50:14","45.599088","-73.571001","","91","41","91","0","South"
"451","4002","10/31/2017","15:51:14","45.605290","-73.563947","","91","23","92","0","North"
"452","4002","10/31/2017","15:52:14","45.607559","-73.563651","","91","13","92","0","North-East"
"453","4002","10/31/2017","15:53:14","45.609316","-73.562114","","91","14","92","0","North-East"
"454","4002","10/31/2017","15:54:15","45.611523","-73.559983","","91","16","92","0","North-East"
"455","4002","10/31/2017","15:55:13","45.612908","-73.558881","","91","0","92","0","North-East"
"456","4002","10/31/2017","15:56:13","45.613375","-73.558550","","92","20","92","0","North-East"
"457","4002","10/31/2017","15:57:15","45.620940","-73.551923","","92","38","93","0","North-East"
"458","4002","10/31/2017","15:58:14","45.622671","-73.550404","","92","1","93","0","North-East"
"459","4002","10/31/2017","15:59:14","45.624136","-73.549216","","92","5","93","0","North-East"
"460","4002","10/31/2017","16:00:14","45.626273","-73.547341","","92","20","93","0","North-East"
"461","4002","10/31/2017","16:01:14","45.628485","-73.545407","","92","11","93","0","North-East"
"462","4002","10/31/2017","16:02:14","45.631358","-73.542844","","92","11","94","0","North-East"
"463","4002","10/31/2017","16:03:13","45.633087","-73.541225","","92","0","94","0","North-East"
"464","4002","10/31/2017","16:04:13","45.636795","-73.537885","","92","9","94","0","North-East"
"465","4002","10/31/2017","16:05:13","45.638744","-73.536174","","92","14","94","0","North-East"
"466","4002","10/31/2017","16:06:13","45.641198","-73.534033","","91","13","94","0","North-East"
"467","4002","10/31/2017","16:07:14","45.641198","-73.534033","","92","13","94","0","North-East"
"468","4002","10/31/2017","16:08:13","45.648270","-73.527813","","91","41","95","0","North-East"
"469","4002","10/31/2017","16:09:13","45.652950","-73.523524","","91","21","95","0","North-East"
"470","4002","10/31/2017","16:10:13","45.658975","-73.518190","","91","31","96","0","North-East"
"471","4002","11/01/2017","07:10:44","45.660073","-73.511854","","92","0","96","0","South"
"479","4002","11/01/2017","08:52:44","45.660783","-73.511635","","87","1","96","0","South"
"480","4002","11/01/2017","08:53:11","45.661749","-73.514733","","86","1","97","0","South"
"481","4002","11/01/2017","08:54:12","45.663386","-73.513533","","86","10","97","0","North-West"
"482","4002","11/01/2017","08:55:11","45.658013","-73.520748","","87","40","97","0","South"
"483","4002","11/01/2017","08:56:10","45.649163","-73.527522","","87","49","98","0","South"
"484","4002","11/01/2017","08:57:10","45.636718","-73.538496","","87","63","99","0","South"
"485","4002","11/01/2017","08:58:10","45.624308","-73.549488","","87","52","100","0","South"
"486","4002","11/01/2017","08:59:09","45.616019","-73.557020","","87","30","101","0","South"
"487","4002","11/01/2017","09:00:10","45.610399","-73.561853","","86","42","101","0","South"
"488","4002","11/01/2017","09:01:10","45.603114","-73.568785","","87","41","102","0","South"
"489","4002","11/01/2017","09:02:09","45.595642","-73.575545","","87","29","102","0","South-West"
"490","4002","11/01/2017","09:03:09","45.589229","-73.583047","","87","34","103","0","South"
"491","4002","11/01/2017","09:04:08","45.582512","-73.589142","","87","26","103","0","South"
"492","4002","11/01/2017","09:05:09","45.575627","-73.595339","","87","33","104","0","South-West"
"493","4002","11/01/2017","09:06:09","45.572676","-73.598019","","86","13","104","0","South"
